Paper Title,Study Domain Terms,Author Name,Gender,Affiliation,Country,Conceptualization,Data Curation,Formal Analysis,Funding Acquisition,Investigation,Methodology,Project Administration,Resources,Software,Supervision,Validation,Visualization,Writing – Original Draft,Writing – Review & Editing
Modeling programs hierarchically with stack-augmented LSTM,Programming Language Modeling; Neural Networks; Code Completion; Program Classification; Code Summarization,Fang Liu,Female,"Peking University, Beijing",China,1,1,0,0,1,1,0,0,1,0,1,1,1,0
,,Lu Zhang,Male,"Peking University, Beijing",China,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,Zhi Jin,Male,"Peking University, Beijing",China,0,0,0,0,0,0,0,1,0,1,0,0,0,1
On testing machine learning programs,Machine Learning; Software Testing; Reliability Engineering; Deep Learning; Reinforcement Learning,Houssem Ben Braiek,Male,"SWAT Lab., Polytechnique Montréal",Canada,1,1,0,0,1,0,0,0,0,0,0,0,1,0
,,Foutse Khomh,Male,"SWAT Lab., Polytechnique Montréal",Canada,0,0,0,0,0,1,0,0,0,1,0,0,0,1
Lexical content as a cooperation aide: A study based on Java software,Collaborative Software Development; Lexical Content in Source Code; Developer Coordination; Version Control Systems; Software Maintenance,Andrea Capiluppi,Male,"Dept. of Computer Science, Brunel University London",UK,1,1,1,0,0,1,0,0,1,0,0,0,1,0
,,Nemitari Ajienka,Male,"Dept. of Computer Science, Edge Hill University",UK,1,0,0,0,0,1,0,0,0,0,0,0,1,0
Cloud reliability and efficiency improvement via failure risk based proactive actions,Cloud Computing; Reliability Engineering; Failure Prediction; Proactive Failure Mitigation; Resource Optimization,Yuli Tian,Female,"School of Computer Science, Northwestern Polytechnical University; Ministry of Industry and Information Technology Key Laboratory of Big Data Storage and Management",China,1,0,1,0,1,1,0,0,1,0,0,0,1,0
,,Jeff Tian,Male,"Department of Computer Science, Southern Methodist University; School of Informatics, Northwest University","USA, China",1,0,0,0,0,1,0,1,0,1,0,0,0,1
,,Ning Li,Male,"School of Computer Science, Northwestern Polytechnical University; Ministry of Industry and Information Technology Key Laboratory of Big Data Storage and Management",China,1,0,0,0,0,1,0,1,0,0,0,0,0,1
Cost-efficient dynamic scheduling of big data applications in apache spark on cloud,Cloud Computing; Big Data Processing; Job Scheduling; Resource Optimization; Apache Spark,Muhammed Tawfiqul Islam,Male,"Cloud Computing and Distributed Systems (CLOUDS) Laboratory, School of Computing and Information Systems, The University of Melbourne",Australia,1,1,1,0,1,1,0,0,1,0,1,1,1,0
,,Satish Narayana Srirama,Male,"Cloud Computing and Distributed Systems (CLOUDS) Laboratory, The University of Melbourne; Mobile & Cloud Lab, Institute of Computer Science, University of Tartu","Australia, Estonia",1,0,1,0,0,1,0,0,0,0,0,0,0,1
,,Shanika Karunasekera,Female,"Cloud Computing and Distributed Systems (CLOUDS) Laboratory, School of Computing and Information Systems, The University of Melbourne",Australia,1,0,1,0,0,0,0,0,0,1,0,0,0,1
,,Rajkumar Buyya,Male,"Cloud Computing and Distributed Systems (CLOUDS) Laboratory, School of Computing and Information Systems, The University of Melbourne",Australia,1,0,0,1,0,0,1,1,0,1,0,0,0,1
Analyzing bug fix for automatic bug cause classification,Bug Fixing; Bug Cause Classification; Code Analysis; Abstract Syntax Tree; Tree-based Convolutional Neural Network,Zhen Ni,Male,"School of Information Engineering, Yangzhou University",China,0,0,0,0,0,1,0,0,1,0,1,0,1,1
,,Bin Li,Male,"School of Information Engineering, Yangzhou University",China,1,0,0,0,0,1,1,0,0,1,0,0,0,0
,,Xiaobing Sun,Male,"School of Information Engineering, Yangzhou University; State Key Laboratory for Novel Software Technology, Nanjing University",China,0,0,0,0,0,1,0,0,0,1,0,0,0,1
,,Tianhao Chen,Male,"School of Information Engineering, Yangzhou University",China,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Ben Tang,Male,"School of Information Engineering, Yangzhou University",China,0,1,0,0,0,0,0,0,1,0,0,0,0,0
,,Xinchen Shi,Male,"School of Information Engineering, Yangzhou University",China,0,1,0,0,0,0,0,0,1,0,0,0,0,0
An Android application risk evaluation framework based on minimum permission set identification,Android Security; App Permissions; Overprivilege Detection; Static Analysis; Collaborative Filtering,Jianmao Xiao,Male,"College of Intelligence and Computing, Tianjin University, Tianjin, China",China,1,0,0,0,0,1,0,0,0,0,0,0,1,0
,,Shizhan Chen,Male,"College of Intelligence and Computing, Tianjin University, Tianjin, China",China,0,0,0,1,0,0,0,0,1,0,1,0,0,0
,,Qiang He,Male,"School of Software and Electrical Engineering, Swinburne University of Technology, Hawthorn, VIC 3122, Australia",Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,Zhiyong Feng,Male,"College of Intelligence and Computing, Tianjin University, Tianjin, China",China,0,0,0,0,0,0,0,1,0,1,0,0,0,0
,,Xiao Xue,Female,"College of Intelligence and Computing, Tianjin University, Tianjin, China",China,0,1,1,0,0,0,0,0,0,0,0,0,0,0
MT-EA4Cloud: A Methodology For testing and optimising energy-aware cloud systems,Cloud Systems; Energy Consumption Optimization; Metamorphic Testing; Evolutionary Algorithms; Cloud Simulation,Pablo C. Cañizares,Male,Universidad Complutense de Madrid,Spain,1,0,0,0,1,1,0,0,1,0,1,0,0,0
,,Alberto Núñez,Male,Universidad Complutense de Madrid,Spain,1,0,0,0,1,1,0,0,0,1,0,0,1,0
,,Juan de Lara,Male,Universidad Autónoma de Madrid,Spain,0,0,0,0,1,1,0,0,0,1,0,0,1,0
,,Luis Llana,Male,Universidad Complutense de Madrid,Spain,0,0,1,0,0,0,0,0,0,0,0,0,0,0
LAURA architecture: Towards a simpler way of building situation-aware and business-aware IoT applications,IoT; WSN; Business Process Management; Situation Awareness; Open-source Architecture,Sergio Teixeira,Male,"Universidade Federal do Espírito Santo (UFES), Centro Universitário Católico de Vitória (UCV)",Brazil,1,1,0,0,1,1,1,0,1,0,1,0,1,1
,,Bruno Alves Agrizzi,Male,Universidade Federal do Espírito Santo (UFES),Brazil,0,1,0,0,1,0,0,1,1,0,0,0,0,0
,,José Gonçalves Pereira Filho,Male,Universidade Federal do Espírito Santo (UFES),Brazil,1,0,0,0,0,0,0,0,0,1,0,0,0,1
,,Silvana Rossetto,Female,Universidade Federal do Rio de Janeiro (UFRJ),Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,Isaac Simões Araújo Pereira,Male,Universidade Federal do Espírito Santo (UFES),Brazil,1,0,0,0,1,1,0,1,1,0,0,0,0,0
,,Patrícia Dockhorn Costa,Female,Universidade Federal do Espírito Santo (UFES),Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,Adriano Francisco Branco,Male,Pontifícia Universidade Católica do Rio de Janeiro (PUC-Rio),Brazil,0,0,0,0,0,0,0,1,1,0,0,0,0,1
,,Ruan Rocha Martinelli,Male,Universidade Federal do Espírito Santo (UFES),Brazil,0,0,0,0,0,0,0,1,1,0,0,0,0,0
A model-driven approach for the development of native mobile applications focusing on the data layer,Mobile Application Development; Model-Driven Development; Data Layer Design; Offline Data Persistence; Cross-platform Development,Manuel Núñez,Male,"Department of Electronics and Computer Science Engineering (DEI), Catholic University ”Nuestra Señora de la Asunción”",Paraguay,1,1,1,0,1,0,0,0,1,0,1,1,1,1
,,Daniel Bonhaure,Male,"Department of Electronics and Computer Science Engineering (DEI), Catholic University ”Nuestra Señora de la Asunción”",Paraguay,0,0,0,0,0,0,0,0,1,0,1,0,0,1
,,Magalí González,Female,"Department of Electronics and Computer Science Engineering (DEI), Catholic University ”Nuestra Señora de la Asunción”",Paraguay,0,0,0,1,0,1,0,1,0,0,0,0,0,1
,,Luca Cernuzzi,Male,"Department of Electronics and Computer Science Engineering (DEI), Catholic University ”Nuestra Señora de la Asunción”",Paraguay,0,0,0,0,0,0,0,1,0,1,1,0,0,1
Automatic retrieval and analysis of high availability scenarios from system execution traces: A case study on hot standby router protocol,"High availability, Dynamic analysis, System execution traces, Failure detection, IP networks",Maged Sheghdara,Male,"Department of Information and Computer Science, KFUPM",Saudi Arabia,0,1,1,0,1,0,0,0,1,0,1,0,1,0
,,Jameleddine Hassine,Male,"Department of Information and Computer Science, KFUPM",Saudi Arabia,1,0,1,1,1,1,1,1,0,1,1,0,1,1
A framework for pervasive computing applications based on smart objects...,"Pervasive computing, Smart Objects, End-user development, System engineering, User experience",Christos Goumopoulos,Male,"Department of Information & Communication Systems Engineering, University of the Aegean; Computer Technology Institute and Press, Diophantus, Patras",Greece,1,0,1,0,1,1,0,0,1,1,0,1,1,1
,,Irene Mavrommati,Female,"Hellenic Open University, School of Applied Arts",Greece,1,1,0,0,0,1,0,0,0,0,1,0,0,1
ThermoSim: Deep learning based framework for modeling and simulation of thermal-aware resource management for cloud computing environments,"Cloud computing, Energy consumption, Temperature, Neural networks, Resource management",Sukhpal Singh Gill,Male,"Queen Mary University of London, Cloud Computing and Distributed Systems (CLOUDS) Laboratory, The University of Melbourne","UK, Australia",1,1,1,0,1,1,0,0,1,0,1,1,1,1
,,Shreshth Tuli,Male,Indian Institute of Technology (IIT) Delhi,India,1,1,0,0,0,1,0,0,1,0,1,0,0,1
,,Adel Nadjaran Toosi,Male,Monash University,Australia,0,1,0,0,0,0,0,0,0,1,0,0,0,1
,,Felix Cuadrado,Male,"Queen Mary University of London, Technical University of Madrid (UPM)","UK, Spain",0,0,1,0,0,0,0,0,1,0,0,0,0,1
,,Peter Garraghan,Male,Lancaster University,UK,0,0,1,0,0,1,0,0,0,1,0,0,1,1
,,Rami Bahsoon,Male,University of Birmingham,UK,0,1,0,0,0,0,0,0,0,0,1,0,0,1
,,Hanan Lutfiyya,Female,University of Western Ontario,Canada,0,0,0,0,0,0,0,0,0,0,0,1,0,1
,,Rizos Sakellariou,Male,University of Manchester,UK,0,0,1,0,0,0,0,0,0,0,0,0,0,1
,,Omer Rana,Male,Cardiff University,UK,1,0,0,0,0,0,0,0,0,1,0,0,0,1
,,Schahram Dustdar,Male,Vienna University of Technology,Austria,0,0,0,0,0,0,0,0,0,0,0,1,0,1
,,Rajkumar Buyya,Male,"Cloud Computing and Distributed Systems (CLOUDS) Laboratory, The University of Melbourne",Australia,1,0,1,0,0,1,0,0,0,1,0,1,1,1
Adaptive metamorphic testing with contextual bandits,"Software testing, Reinforcement learning, Machine learning, Image classification, Object detection",Helge Spieker,Male,"Simula Research Laboratory, Lysaker 1325, Norway",Norway,1,1,0,0,0,1,0,0,1,0,1,1,1,1
,,Arnaud Gotlieb,Male,"Simula Research Laboratory, Lysaker 1325, Norway",Norway,0,0,0,1,0,1,0,0,0,1,0,0,1,1
CODE reuse in practice: Benefiting or harming technical debt,"TD, Software reuse, Principal, Interest, OSS",Daniel Feitosa,Male,"Data Research Centre, University of Groningen",Netherlands,1,1,1,0,0,1,0,0,1,0,0,0,1,1
,,Apostolos Ampatzoglou,Male,"Department of Applied Informatics, University of Macedonia",Greece,1,1,0,0,0,1,0,0,0,0,0,0,1,1
,,Antonios Gkortzis,Male,"Department of Management Science and Technology, Athens University of Economics and Business",Greece,1,0,0,0,0,1,0,0,1,0,0,0,1,1
,,Stamatia Bibi,Female,"Department of Informatics and Telecommunications, University of Western Macedonia",Greece,1,0,0,0,0,1,0,0,0,0,0,0,1,1
,,Alexander Chatzigeorgiou,Male,"Department of Applied Informatics, University of Macedonia",Greece,1,0,0,0,0,1,0,0,0,0,0,0,1,1
Automated defect identification via path analysis-based features with transfer learning,"Code generation, defect identification, machine learning, transfer learning, software engineering",Yuwei Zhang,Male,"State Key Laboratory of Networking and Switching Technology, Beijing University of Posts and Telecommunications",China,1,0,0,0,1,1,0,0,1,0,0,0,1,0
,,Dahai Jin,Male,"State Key Laboratory of Networking and Switching Technology, Beijing University of Posts and Telecommunications",China,1,0,0,0,0,0,0,0,0,0,1,0,0,0
,,Ying Xing,Female,"Automation School, Beijing University of Posts and Telecommunications",China,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,Yunzhan Gong,Male,"State Key Laboratory of Networking and Switching Technology, Beijing University of Posts and Telecommunications",China,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"General framework, opportunities and challenges for crowdsourcing techniques: A Comprehensive survey","Crowdsourcing, open innovation, scalability, task decomposition, answer aggregation",Shahzad Sarwar Bhatti,Male,"The Shanghai Key Laboratory of Scalable Computing and Systems, Department of Computer Science and Engineering, Shanghai Jiao Tong University",China,1,0,0,0,0,1,0,0,0,0,0,0,1,0
,,Xiaofeng Gao,Male,"The Shanghai Key Laboratory of Scalable Computing and Systems, Department of Computer Science and Engineering, Shanghai Jiao Tong University",China,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,,Guihai Chen,Male,"The Shanghai Key Laboratory of Scalable Computing and Systems, Department of Computer Science and Engineering, Shanghai Jiao Tong University",China,0,0,0,0,0,0,0,0,0,1,0,0,0,0
96,,,,,,,,,,,,,,,,,,,
