Paper Title,Study Domain Terms,Study_Area,Study_Area2
A data-driven active learning approach to reusing ML solutions in scientific applications,Machine learning reuse; Active learning; Scientific applications; Data-driven methods; Image segmentation,"Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
,,,
Addressing combinatorial experiments and scarcity of subjects by provably orthogonal and crossover experimental designs,"Software engineering, Security, DoE, Orthogonal designs, Crossover designs",Methods and tools for empirical software engineering research,
,,,
,,,
A framework for the design of fault-tolerant systems-of-systems,"Fault Tolerance, Systems-of-Systems, Reconfiguration, Behavioral Changes, Mission-Critical Systems","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution",
,,,
,,,
,,,
,,,
,,,
A fuzzy logic-based quality model for identifying microservices with low maintainability,"Microservice architecture, maintainability, scalability, fuzzy logic, ISO/IEC 250xy SQuaRE","Agile, model-driven, service-oriented, open source and global software development",
,,,
A language-parametric test coverage framework for executable domain-specific languages,"Test coverage, xDSL, Fault localization, Model element, Branch coverage","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
,,,
,,,
"A Multi-vocal Literature Review on challenges and critical success factors of phishing education, training and awareness","Phishing, Cybersecurity, User Education, Anti-phishing Tools, Human-centric Systems",Human factors and management concerns of software development,
,,,
,,,
,,,
,,,
An architecture for model-based and intelligent automation in DevOps,"DevOps, AI, Machine Learning, Model Driven Engineering, Automation","DevOps, continuous integration, build and test automation",
,,,
,,,
,,,
,,,
An empirical assessment of different word embedding and deep learning models for bug assignment,"Bug triage, text classification, deep learning, word embedding, bug assignment","Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
,,,
,,,
,,,
An Empirical Investigation Into the Influence of Software Communitiesâ€™ Cultural and Geographical Dispersion on Productivity,"productivity, cultural diversity, geographical dispersion, software analytics, open-source",Human factors and management concerns of software development,
,,,
,,,
,,,
,,,
,,,
,,,
An empirical investigation on the competences and roles of practitioners in Microservices-based Architectures,"Web Technologies, DevOps, Data Technologies, Software Engineering, Technical Knowledge",Human factors and management concerns of software development,
,,,
,,,
An empirical study on bug severity estimation using source code metrics and static analysis,"Software defects, Bug prediction, Severity estimation, Static analysis, Source code metrics",Methods and tools for empirical software engineering research,
,,,
,,,
,,,
,,,
Ant-colony optimization for automating test model generation in model transformation testing,"test model generation, metamodels, MT testing, Ant-Colony Optimization, black-box testing","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
,,,
Applying short text topic models to instant messaging communication of software developers,"Instant messaging, topic models, chat messages, developer communication, topic quality",Human factors and management concerns of software development,
,,,
,,,
Architectural support for software performance in continuous software engineering: A systematic mapping study,"Software performance, Continuous engineering, Systematic mapping, Architectural support, Performance assessment","DevOps, continuous integration, build and test automation",
,,,
,,,
,,,
,,,
,,,
Assessing gender bias in the software used in computer science and software engineering education,"CS, SE, Gender Bias, Education, Usability",Software Engineering education,
,,,
,,,
A study on classifying Stack Overflow questions based on difficulty by utilizing contextual features,"Question classification, Stack Overflow, Contextual features, TF-IDF, Doc2Vec","Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
,,,
,,,
,,,
A survey on machine learning techniques applied to source code,"Machine learning, source code analysis, software engineering, vulnerability detection, testing","Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
,,,
,,,
,,,
,,,
Automated program repair for variability bugs in software product line systems,"SPL, Bug fixing, Fault localization, Heuristic rules, Source code repair","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
,,,
Automatic testing of runtime enforcers with Test4Enforcers,"Health, productivity, entertainment, business, software enforcers","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
Automating the correctness assessment of AI-generated code for security contexts,"AI, Code Generation, Security, Symbolic Execution, Assembly Code","Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
,,,
,,,
A vulnerability severity prediction method based on bimodal data and multi-task learning,"Software security, Vulnerability analysis, Bimodal data, Multi-task learning, Severity prediction","Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
,,,
Barriers to device longevity and reuse: A vintage device empirical study,"app installation, functionality, vintage devices, Apple, reuse",Human factors and management concerns of software development,
,,,
Beyond code: Is there a difference between comments in visual and textual languages?,"Code comments, Taxonomy, Simulink, MATLAB, Model-driven engineering","Agile, model-driven, service-oriented, open source and global software development",
,,,
,,,
,,,
Bug priority change: An empirical study on Apache projects,"Bug priority, issue tracking systems, priority changes, empirical study, Apache open source",Methods and tools for empirical software engineering research,
,,,
,,,
,,,
,,,
,,,
Code-centric learning-based just-in-time vulnerability detection,"Vulnerability, commits, graph neural network, JIT-VD, code changes","Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
,,,
,,,
,,,
ConflictBench: A benchmark to evaluate software merge tools,"collaborative software development, merge tools, conflict detection, open-source Java projects, software metrics","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
Context-aware code generation with synchronous bidirectional decoder,"code generation, sequence-to-tree models, bidirectional decoder, scheduled sampling, beam search","Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
,,,
,,,
Conversation in forums: How software forum posts discuss potential development insights,"Software forums, User feedback, Bug reports, Feature requests, Contextual information",Human factors and management concerns of software development,
,,,
,,,
,,,
,,,
"Data pipeline quality: Influencing factors, root causes of data-related issues, and processing problem areas for developers","Data, infrastructure, life cycle management, development & deployment, processing","Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
,,,
DeepCover: Advancing RNN test coverage and online error prediction using state machine extraction,"Neural Networks, Explainability, Machine Learning, Error Prediction, Test Coverage","Artificial Intelligence, data analytics and big data applied in software engineering","Methods and tools for software verification and validation, testing, maintenance, and evolution"
,,,
Delivering computing module for the large part-time software development class from pre- to post-pandemic: An online learning experience,"online learning, higher education, software engineering, technology-enhanced learning, student experience",Software Engineering education,
,,,
,,,
Detecting security vulnerabilities with vulnerability nets,"security, vulnerabilities, software development, static analysis, manual audits","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
Detecting semantic conflicts with unit tests,"software, programming, merge, conflict, tests","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution",
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Do code reviews lead to fewer code smells?,"Software quality, Code smells, Maintainability, Code reviews, Process quality",Metrics and evaluation of software development resources,Methods and tools for empirical software engineering research
,,,
,,,
Eclipse Open SmartCLIDE: An end-to-end framework for facilitating service reuse in cloud development,"SOA, Cloud Development, Service Reuse, API, Enterprise Systems",Approaches for cloud/fog/edge computing and virtualized systems,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Edge to Cloud Tools: A Multivocal Literature Review,"edge computing, cloud resources, orchestration, offloading, computational tasks",Approaches for cloud/fog/edge computing and virtualized systems,
,,,
,,,
,,,
,,,
,,,
Emerging technologies in higher education assessment and feedback practices: A systematic literature review,"Artificial Intelligence, Learning Analytics, Extended Reality, higher education, computing education",Software Engineering education,"Artificial Intelligence, data analytics and big data applied in software engineering"
,,,
,,,
End-to-end log statement generation at block-level,"Software Development, Log Generation, Runtime Issues, Evaluation, Machine Learning","Artificial Intelligence, data analytics and big data applied in software engineering",Methods and tools for empirical software engineering research
,,,
,,,
,,,
,,,
,,,
Enhancing understanding and addressing gender bias in IT/SE job advertisements,"Gender bias, IT/SE, Job advertisements, Inclusiveness, Hiring practices",Ethical/societal aspects of Software Engineering,
,,,
,,,
ETune: Efficient configuration tuning for big-data software systems via configuration space reduction,"Configuration tuning, Bayesian optimization, Configuration space reduction, Big-data systems, Transfer learning","Artificial Intelligence, data analytics and big data applied in software engineering",Methods and tools for empirical software engineering research
,,,
,,,
,,,
Examining the effect of software professionalsâ€™ personality & additional capabilities on agile teamsâ€™ climate,Agile Team Climate; Personality Traits; Capability Measures; Organizational Performance; Correlation Analysis,Human factors and management concerns of software development,
,,,
Experimental evaluation of architectural software performance design patterns in microservices,Microservices; Design Patterns; System Performance; Resource Utilization; Cloud Infrastructure,"Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
Exploring the relation between personality traits and agile team climate: Aggregating results from a twice replicated study in a telecom company,Personality Traits; Agile Teams; Team Climate; Regression Analysis; Meta-Analysis,Human factors and management concerns of software development,
,,,
Exploring the trade-off between computational power and energy efficiency,Quantum Computing; Energy Efficiency; Computational Complexity; Empirical Studies; Classical Computing,Software Engineering for Sustainability,Methods and tools for empirical software engineering research
,,,
,,,
,,,
,,,
Feature causality,Software Defects; Feature Causality; Counterfactual Reasoning; Causal Impact Estimation; Feature Interactions,"Artificial Intelligence, data analytics and big data applied in software engineering",Methods and tools for empirical software engineering research
,,,
,,,
,,,
Feature-oriented test case selection and prioritization during the evolution of highly-configurable systems,Test Case Selection; Software Evolution; Highly Configurable Systems; Feature-based Testing; Test Case Prioritization,"Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
Few-shot code translation via task-adapted prompt learning,Pre-trained Models; Code Translation; Few-shot Learning; Parameter-efficient Tuning; Software Engineering,"Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
,,,
,,,
Flexible control flow graph alignment for delivering data-driven feedback to novice programming learners,Introductory Programming; Automated Feedback Systems; Control Flow Graph Alignment; Data-Driven Learning Support; Program Repair Algorithms,Software Engineering education,
,,,
,,,
FragQC: An efficient quantum error reduction technique using quantum circuit fragmentation,Quantum Computing; Quantum Circuit Fragmentation; Error Reduction Techniques; Graph Partitioning; Quantum Hardware,"Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
,,,
GBSR: Graph-based suspiciousness refinement for improving fault localization,Fault Localization; Software Debugging; Graph-based Algorithms; Mutation Analysis; Fault Suspiciousness Ranking,"Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution",
,,,
,,,
,,,
,,,
,,,
GDPR compliance via software evolution: Weaving security controls in software design,GDPR Compliance; Software Design; Privacy Controls; Security Controls; Software Evolution,"Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
GPTSniffer: A CodeBERT-based classifier to detect source code written by ChatGPT,AI-Generated Code Detection; Software Engineering Education; Plagiarism Detection; AI Code Classification; Quality Assurance in AI-generated Code,Methods and tools for empirical software engineering research,
,,,
,,,
,,,
,,,
,,,
"GraalSP: Polyglot, efficient, and robust machine learning-based static profiler",Static Profiling; Machine Learning; Compiler Optimization; Polyglot Programming; Program Performance,"Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
Harmonizing DevOps taxonomies â€” A grounded theory study,DevOps Adoption; Organizational Structure; Grounded Theory; Team Dynamics; Software Development Practices,"DevOps, continuous integration, build and test automation",
,,,
,,,
,,,
,,,
,,,
,,,
Hierarchical features extraction and data reorganization for code search,Code Search; Transformer Models; Deep Learning; Contrastive Training; Semantic Representation,"Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
,,,
Hybrid quantum architecture for smart city security,Smart City Security; Quantum Computing; AI-driven Threat Detection; IoT Vulnerabilities; Data Privacy,Approaches for cloud/fog/edge computing and virtualized systems,
,,,
,,,
,,,
,,,
Impermanent identifiers: Enhanced source code comprehension and refactoring,Software Comprehension; Code Augmentation; Dynamic Identifiers; Empirical Software Engineering; Developer Collaboration,Methods and tools for empirical software engineering research,
,,,
,,,
,,,
,,,
,,,
Incivility detection in open source code review and issue discussions,Open Source Development; Code Review; Issue Discussions; Machine Learning for Incivility Detection; Cross-platform Analysis,Methods and tools for empirical software engineering research,
,,,
,,,
Incremental-concurrent fusion checking for efficient context consistency,Context-Aware Computing; Smart Applications; Constraint Checking; Environmental Dynamics; Context Consistency,"Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
,,,
Investigating effectiveness and compliance to DevOps policies and practices for managing productivity and quality variability,DevOps; Productivity; Quality Management; Software Maintenance; Process Improvement,"DevOps, continuous integration, build and test automation",
,,,
,,,
Investigating the robustness of locators in template-based Web application testing using a GUI change classification model,GUI Testing; Web Application Testing; Test Case Robustness; Locator Breakage; Regression Testing,"Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution",
,,,
,,,
Iterative framework based on multi-task learning for service recommendation,Service-Oriented Computing; Multi-Task Learning; Service Recommendation; Software Development; User Requirements,Approaches for cloud/fog/edge computing and virtualized systems,
,,,
,,,
,,,
,,,
JITGNN: A deep graph neural network framework for Just-In-Time bug prediction,Just-In-Time Bug Prediction; Graph Neural Networks; Software Change Metrics; Deep Learning for Software Prediction; Source Code Analysis,"Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
Local features: Enhancing variability modeling in software product lines,Software Product Lines; Variability Modeling; Feature Models; Domain-Specific Languages; Product Customization,"Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
,,,
Log statements generation via deep learning: Widening the support provided to developers,Logging; Deep Learning in Software Engineering; Information Retrieval; Software Monitoring; Log Statement Injection,"Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
,,,
L OP-ART: A linear-time adaptive random testing algorithm for object-oriented programs,Object-Oriented Programming; Software Testing; Adaptive Random Testing; Fault Detection; Computational Efficiency,"Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution",
,,,
,,,
,,,
,,,
,,,
Monitoring tools for DevOps and microservices: A systematic grey literature review,DevOps Practices; Microservice Architecture; System Monitoring; Grey Literature Review; Software Quality,"DevOps, continuous integration, build and test automation",
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Multi-granularity coverage criteria for deep reinforcement learning systems,"Reinforcement Learning, Deep Learning, Coverage, Safety, Security","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution",
,,,
,,,
On the effectiveness of developer features in code smell prioritization: A replication study,"code smells, prioritization, developer features, feature selection, model explanation",Metrics and evaluation of software development resources,
,,,
,,,
,,,
,,,
,,,
"Programming under the influence: On the effect of Heat, Noise, and Alcohol on novice programmers","Cognitive performance, Environmental stressors, Programming tasks, Noise effects, Alcohol effects",Human factors and management concerns of software development,
,,,
,,,
Property probes: Live exploration of program analysis results,"program analysis, debugging, dataflow analysis, compilers, interactive development","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
Query-oriented two-stage attention-based model for code search,"code search, deep learning, code representation, attention-based models, semantic gap","Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
,,,
ReenRepair: Automatic and semantic equivalent repair of reentrancy in smart contracts,"Reentrancy, Smart contracts, Vulnerability, Gas optimization, Semantic equivalence","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
,,,
,,,
,,,
"Reproducibility of issues reported in stack overflow questions: Challenges, impact & estimation","reproducibility, Stack Overflow, code snippets, machine learning, reproducibility challenges",Methods and tools for empirical software engineering research,
,,,
Research artifacts for human-oriented experiments in software engineering: An ACM badges-driven structure proposal,"Open Science, Empirical Software Engineering, Human-Oriented Experiments, ACM Badging Policy, Reproducibility",Methods and tools for empirical software engineering research,
,,,
,,,
,,,
,,,
,,,
RRGcode: Deep hierarchical search-based code generation,"Code generation, search models, re-ranking, retrieval models, semantic comparison","Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
,,,
Runtime verification on abstract finite state models,"Finite-state models, Java, multithreading, runtime verification, temporal logic","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
Semantic interoperability for an AI-based applications platform for smart hospitals using HL7 FHIR,"Healthcare, AI, Machine Learning, Semantic Interoperability, Healthcare Digitization",Software Engineering for AI systems,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
ServiceAnomaly: An anomaly detection approach in microservices using distributed traces and profiling metrics,"anomaly detection, microservices, distributed traces, profiling metrics, graph analysis","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
Set evolution based test data generation for killing stubborn mutants,"mutation testing, fault-based testing, stubborn mutants, test data generation, set evolution","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
,,,
Supporting meta-model-based language evolution and rapid prototyping with automated grammar transformation,"Model-driven engineering, DSLs, meta-model, grammar transformation, language evolution","Agile, model-driven, service-oriented, open source and global software development",
,,,
,,,
,,,
,,,
"SynthoMinds: Bridging human programming intuition with retrieval, analogy, and reasoning in program synthesis","Program synthesis, Memory augmentation, Retrieval module, Analogy module, Reasoning module","Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
"Technical debt in AI-enabled systems: On the prevalence, severity, impact, and management strategies for code and architecture","AI, Technical Debt, Architecture, Code Quality, Software Engineering",Business and economic aspects of software development processes,
,,,
,,,
,,,
,,,
,,,
,,,
Test case information extraction from requirements specifications using NLP-based unified boilerplate approach,"NLP, Test case generation, Requirements, Software testing, Automation","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
,,,
,,,
,,,
Test data generation for covering mutation-based path using MGA for MPI program,"MPI, Mutation Testing, Genetic Algorithm, Test Data Generation, Software Testing","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
,,,
,,,
The effects of required security on software development effort,"Security, Software Development, Cost Models, Secure Software, Information Systems",Business and economic aspects of software development processes,
,,,
,,,
The impact of hard and easy negative training data on vulnerability prediction performance,"Vulnerability Prediction, Machine Learning, Deep Learning, Negative Sampling, Model Performance","Artificial Intelligence, data analytics and big data applied in software engineering",
,,,
,,,
,,,
The never-ending storyâ€“How companies transition to and sustain continuous software engineering practices,"Continuous Software Engineering, Empirical Methods, Qualitative Research, Thematic Analysis, Infrastructuring",Methods and tools for empirical software engineering research,
,,,
The slow and the furious? Performance antipattern detection in Cyberâ€“Physical Systems,"Cyberâ€“Physical Systems, Performance, Antipatterns, Static Analysis, Software Performance","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
Thriving in the era of hybrid work: Raising cybersecurity awareness using serious games in industry trainings,"Cybersecurity, Hybrid work, Serious games, Secure software, Cloud security",Human factors and management concerns of software development,
,,,
,,,
,,,
Towards a common data-driven culture: A longitudinal study of the tensions and emerging solutions involved in becoming data-driven in a large public sector organization,"data-driven, public sector, sociotechnical, organizational culture, innovation",Business and economic aspects of software development processes,
,,,
,,,
Uncovering gender gap in academia: A comprehensive analysis within the software engineering community,"Gender gap, co-authorship, academic promotions, homophily, SE community",Ethical/societal aspects of Software Engineering,
,,,
,,,
,,,
,,,
Understanding participation and corporatization in service of diversity in free/libre and open source software development projects,"software development, FLOSS, corporate engagement, diversity, GitHub",Ethical/societal aspects of Software Engineering,
,,,
Understanding Virtual Onboarding Dynamics and Developer Turnover Intention in the Era of Pandemic,"Onboarding, Turnover, Virtual Work, Retention, Pandemic",Human factors and management concerns of software development,
,,,
,,,
Unlocking inclusive education: A quality assessment of software design in applications for children with autism,"Assistive technologies, software engineering, autism, inclusive education, user-centered design",Human factors and management concerns of software development,
,,,
,,,
Variability debt in opportunistic reuse: A multi-project field study,"Technical debt, Variability management, Opportunistic reuse, Clone-and-own reuse, Software variants",Business and economic aspects of software development processes,
,,,
,,,
,,,
,,,
Variability management and software product line knowledge in software companies,"software product line engineering, variability management, reuse practices, software development companies, empirical study",Methods and tools for empirical software engineering research,
,,,
,,,
,,,
,,,
"Variability modeling of products, processes, and resources in cyberâ€“physical production systems engineering","Cyber-Physical Production Systems, Process Automation, Control Systems, Product Variability, Resource Configuration","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
,,,
,,,
,,,
,,,
Visualization of object-oriented software in a city metaphor: Comprehending the implemented variability and its technical debt,"Software visualization, Object-oriented systems, Technical debt, Variability management, OO mechanisms","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
,,,
,,,
Vulnerability detection techniques for smart contracts: A systematic literature review,"Music industry, Finance, Retail, Smart contracts, Vulnerability detection",Methods and tools for empirical software engineering research,
,,,
,,,
What is discussed about Flutter on Stack Overflow (SO) question-and-answer (Q&A) website: An empirical study,"Mobile Development, Cross-platform, Flutter, Stack Overflow, Software Engineering",Methods and tools for empirical software engineering research,
,,,
White-box validation of quantitative product lines by statistical model checking and process mining,"Software Product Line, Statistical Model Checking, Process Mining, Software Validation, Feature-oriented Languages","Methods and tools for software requirements, design, architecture, verification and validation, testing, maintenance and evolution, testing, maintenance and evolution",
