Paper Title,Author Name,Gender,Affiliation,Industrial/Institutional,local_Contribution?,national_collaboration?,International_collaboration?
,Negar Hashemi,Female,"School of Mathematical and Computational Sciences, Massey University, New Zealand",,,,
,Lu Zhang,Female,"Key Laboratory of High Confidence Software Technologies, MoE and the Department of Computer Science and Technology, Peking University, China",,,,
Transitioning a project-based course between onsite and online. An experience report,Dan Mircea Suciu,Male,"Babes-Bolyai University, Department of Computer Science, M. Kogalniceanu 1, Cluj-Napoca, Romania",TRUE,1,0,0
,Simona Motogna,Female,"Babes-Bolyai University, Department of Computer Science, M. Kogalniceanu 1, Cluj-Napoca, Romania",,,,
,Arthur-Jozsef Molnar,Male,"Babes-Bolyai University, Department of Computer Science, M. Kogalniceanu 1, Cluj-Napoca, Romania",,,,
Catalog and detection techniques of microservice anti-patterns and bad smells: A tertiary study,Tomas Cerny,Male,"SIE, University of Arizona, Tucson, AZ, USA",TRUE,0,0,1
,Amr S. Abdelfattah,Male,"Baylor University, Waco, TX, USA",,,,
,Abdullah Al Maruf,Male,"Baylor University, Waco, TX, USA",,,,
,Andrea Janes,Female,"FHV Vorarlberg University of Applied Sciences, Dornbirn, Austria",,,,
,Davide Taibi,Male,"Tampere University, Tampere, Finland",,,,
Comparing software product lines and Clone and Own for game software engineering under two paradigms: Model-driven development and code-driven development,Jorge Chueca,Male,"Universidad San Jorge, SVIT Research Group",TRUE,1,0,0
,Jose Ignacio Trasobares,Male,"Universidad San Jorge, SVIT Research Group",,,,
,Ãfrica Domingo,Female,"Universidad San Jorge, SVIT Research Group",,,,
,Lorena Arcega,Female,"Universidad San Jorge, SVIT Research Group",,,,
,Carlos Cetina,Male,"Universidad San Jorge, SVIT Research Group",,,,
,Jaime Font,Male,"Universidad San Jorge, SVIT Research Group",,,,
On the impact of single and co-occurrent refactorings on quality attributes in android applications,Ali Ouni,Male,"Ecole de Technologie Superieure, University of Quebec, Montreal, QC, Canada",TRUE,0,0,1
,Eman Abdullah AlOmar,Female,"Stevens Institute of Technology, Hoboken, NJ, USA",,,,
,Oumayma Hamdi,Female,"Ecole de Technologie Superieure, University of Quebec, Montreal, QC, Canada",,,,
,Mel Ã“ CinnÃ©ide,Male,"University College Dublin, Dublin, Ireland",,,,
,Mohamed Wiem Mkaouer,Male,"Rochester Institute of Technology, Rochester, NY, USA",,,,
,Mohamed Aymen Saied,Male,"Laval University, Quebec, QC, Canada",,,,
Automatic software vulnerability assessment by extracting vulnerability elements,Xiaobing Sun,Male,"School of Information Engineering, Yangzhou University, Yangzhou, China, Jiangsu Province Engineering Research Center of Knowledge Management and Intelligent Service, Yangzhou University, Yangzhou, China",TRUE,0,0,1
,Zhenlei Ye,Male,"School of Information Engineering, Yangzhou University, Yangzhou, China, Jiangsu Province Engineering Research Center of Knowledge Management and Intelligent Service, Yangzhou University, Yangzhou, China",,,,
,Lili Bo,Female,"School of Information Engineering, Yangzhou University, Yangzhou, China, Jiangsu Province Engineering Research Center of Knowledge Management and Intelligent Service, Yangzhou University, Yangzhou, China, Key Laboratory of Safetyâ€“Critical Software Ministry of Industry and Information Technology, Nanjing University of Aeronautics and Astronautics, Nanjing, China",,,,
,Xiaoxue Wu,Female,"School of Information Engineering, Yangzhou University, Yangzhou, China, Jiangsu Province Engineering Research Center of Knowledge Management and Intelligent Service, Yangzhou University, Yangzhou, China",,,,
,Ying Wei,Female,"School of Information Engineering, Yangzhou University, Yangzhou, China, Jiangsu Province Engineering Research Center of Knowledge Management and Intelligent Service, Yangzhou University, Yangzhou, China",,,,
,Tao Zhang,Male,"School of Computer Science and Engineering, Macau University of Science and Technology (MUST), Macao Special Administrative Region of China",,,,
,Bin Li,Male,"School of Information Engineering, Yangzhou University, Yangzhou, China, Jiangsu Province Engineering Research Center of Knowledge Management and Intelligent Service, Yangzhou University, Yangzhou, China",,,,
Semantic feature learning for software defect prediction from source code and external knowledge,Jingyu Liu,Male,"School of Reliability and Systems Engineering, Beihang University",TRUE,1,0,0
,Jun Ai,Male,"School of Reliability and Systems Engineering, Beihang University",,,,
,Minyan Lu,Female,"School of Reliability and Systems Engineering, Beihang University",,,,
,Jie Wang,Male,"School of Reliability and Systems Engineering, Beihang University",,,,
,Haoxiang Shi,Male,"School of Reliability and Systems Engineering, Beihang University",,,,
ARist: An effective API argument recommendation approach,Son Nguyen,Male,"Faculty of Information Technology, VNU University of Engineering and Technology",TRUE,1,0,0
,Cuong Tran Manh,Male,"Faculty of Information Technology, VNU University of Engineering and Technology",,,,
,Kien T. Tran,Male,"Faculty of Information Technology, VNU University of Engineering and Technology",,,,
,Tan M. Nguyen,Male,"Faculty of Information Technology, VNU University of Engineering and Technology",,,,
,Thu-Trang Nguyen,Female,"Faculty of Information Technology, VNU University of Engineering and Technology",,,,
,Kien-Tuan Ngo,Male,"Faculty of Information Technology, VNU University of Engineering and Technology",,,,
,Hieu Dinh Vo,Male,"Faculty of Information Technology, VNU University of Engineering and Technology",,,,
Dialog summarization for software collaborative platform via tuning pre-trained models,Guodong Fan,Male,"College of Intelligence and Computing, Tianjin University",TRUE,0,1,0
,Shizhan Chen,Male,"College of Intelligence and Computing, Tianjin University",,,,
,Hongyue Wu,Male,"College of Intelligence and Computing, Tianjin University",,,,
,Cuiyun Gao,Female,"School of Computer Science and Technology, Harbin Institute of Technology, Shenzhen",,,,
,Jianmao Xiao,Male,"School of Software, Jiangxi Normal University, Nanchang",,,,
,Xiao Xue,Male,"College of Intelligence and Computing, Tianjin University",,,,
,Zhiyong Feng,Male,"College of Intelligence and Computing, Tianjin University",,,,
On the maintenance support for microservice-based systems through the specification and the detection of microservice antipatterns,Rafik Tighilt,Male,"University of Quebec in Montreal, Ã‰cole de Technologie SupÃ©rieure, Concordia University",FALSE,0,0,1
,Manel Abdellatif,Male,Ã‰cole de Technologie SupÃ©rieure,,,,
,Imen Trabelsi,Female,Ã‰cole de Technologie SupÃ©rieure,,,,
,LoÃ¯c Madern,Male,Polytech Nice Sophia,,,,
,Naouel Moha,Male,Ã‰cole de Technologie SupÃ©rieure,,,,
,Yann-GaÃ«l GuÃ©hÃ©neuc,Male,Concordia University,,,,
Application of metamorphic testing on UAV path planning software,Lvyuan Wu,Male,"Beihang University, Institute of Systems Engineering Integration",TRUE,0,1,0
,Zhiyu Xi,Male,Beihang University,,,,
,Zheng Zheng,Male,Beihang University,,,,
,Xiaoli Li,Female,Institute of Systems Engineering Integration,,,,
Transforming Numerical Feature Models into Propositional Formulas and the Universal Variability Language,Daniel-Jesus Munoz,Male,"ITIS Software, Universidad de Malaga, Andalucia Tech",TRUE,0,0,1
,MÃ³nica Pinto,Female,"ITIS Software, Universidad de Malaga, Andalucia Tech",,,,
,Lidia Fuentes,Female,"ITIS Software, Universidad de Malaga, Andalucia Tech",,,,
,Don Batory,Male,"Department of Computer Science, University of Texas at Austin",,,,
Adaptive robustness evaluation for complex system prognostics and health management software platform,He Liu,Male,"School of Astronautics, Harbin Institute of Technology, Harbin, 150080, China; Beijing Institute of Spacecraft System Engineering, China Academy of Space Technology, Beijing, 100086, China",TRUE,0,1,0
,Cheng Wei,Male,"School of Astronautics, Harbin Institute of Technology, Harbin, 150080, China",,,,
,Bo Sun,Male,"Beijing Institute of Spacecraft System Engineering, China Academy of Space Technology, Beijing, 100086, China",,,,
,Yinxue Zeng,Female,"College of Electrical Engineering, Sichuan University, Chengdu, 610065, China",,,,
"Characteristics, causes, and consequences of technical debt in the automation domain",Fandi Bi,Male,"Institute of Automation and Information Systems, Technische UniversitÃ¤t MÃ¼nchen, Garching b. MÃ¼nchen, Germany",TRUE,1,0,0
,Birgit Vogel-Heuser,Female,"Institute of Automation and Information Systems, Technische UniversitÃ¤t MÃ¼nchen, Garching b. MÃ¼nchen, Germany",,,,
,Ziyi Huang,Female,"Institute of Automation and Information Systems, Technische UniversitÃ¤t MÃ¼nchen, Garching b. MÃ¼nchen, Germany",,,,
,Felix Ocker,Male,"Institute of Automation and Information Systems, Technische UniversitÃ¤t MÃ¼nchen, Garching b. MÃ¼nchen, Germany",,,,
An Investigation of Confusing Code Patterns in JavaScript,Adriano Torres,Male,"Computer Science Department, University of BrasÃ­lia, Brazil",TRUE,0,0,1
,Caio Oliveira,Male,"Computer Science Department, University of BrasÃ­lia, Brazil",,,,
,MÃ¡rcio Okimoto,Male,"Computer Science Department, University of BrasÃ­lia, Brazil",,,,
,Diego MarcÃ­lio,Male,"UniversitÃ¡ Della Svizzera Italiana, Switzerland",,,,
,Pedro Queiroga,Male,"Informatics Center, University Federal of Pernambuco, Brazil",,,,
,Fernando Castor,Male,"Informatics Center, University Federal of Pernambuco, Brazil",,,,
,Rodrigo BonifÃ¡cio,Male,"Computer Science Department, University of BrasÃ­lia, Brazil",,,,
,Edna Dias Canedo,Female,"Computer Science Department, University of BrasÃ­lia, Brazil",,,,
,MÃ¡rcio Ribeiro,Male,"Institute of Computing, Federal University of Alagoas, Brazil",,,,
,Eduardo Monteiro,Male,"Statistics Department, University of BrasÃ­lia, Brazil",,,,
Predicting resource consumption of Kubernetes container systems using resource models,Gianluca Turin,Male,"University of Oslo, Gaustadalleen 23B, NO-0373, Oslo, Norway, Universitaâ€™ degli Studi di Torino, Corso Svizzera 185, 10149, Torino, Italy",FALSE,0,0,1
,Andrea Borgarelli,Male,"Universitaâ€™ degli Studi di Torino, Corso Svizzera 185, 10149, Torino, Italy",,,,
,Simone Donetti,Male,"Universitaâ€™ degli Studi di Torino, Corso Svizzera 185, 10149, Torino, Italy",,,,
,Ferruccio Damiani,Male,"Universitaâ€™ degli Studi di Torino, Corso Svizzera 185, 10149, Torino, Italy",,,,
,Einar Broch Johnsen,Male,"University of Oslo, Gaustadalleen 23B, NO-0373, Oslo, Norway",,,,
,S. Lizeth Tapia Tarifa,Female,"University of Oslo, Gaustadalleen 23B, NO-0373, Oslo, Norway, Universitaâ€™ degli Studi di Torino, Corso Svizzera 185, 10149, Torino, Italy",,,,
A comprehensive evaluation of SZZ Variants through a developer-informed oracle,Giovanni Rosa,Male,"STAKE Lab, University of Molise",TRUE,0,0,1
,Luca Pascarella,Male,"Software Institute, USI UniversitÃ della Svizzera Italiana",,,,
,Simone Scalabrino,Male,"STAKE Lab, University of Molise",,,,
,Rosalia Tufano,Female,"Software Institute, USI UniversitÃ della Svizzera Italiana",,,,
,Gabriele Bavota,Male,"Software Institute, USI UniversitÃ della Svizzera Italiana",,,,
,Michele Lanza,Male,"Software Institute, USI UniversitÃ della Svizzera Italiana",,,,
,Rocco Oliveto,Male,"STAKE Lab, University of Molise",,,,
Reliability in software engineering qualitative research through Inter-Coder Agreement,Ãngel GonzÃ¡lez-Prieto,Male,"Facultad de Ciencias MatemÃ¡ticas, Universidad Complutense de Madrid, Spain, Instituto de Ciencias MatemÃ¡ticas (CSIC-UAM-UCM-UC3M), C/ NicolÃ¡s Cabrera 13-15, Madrid, 28049, Spain",TRUE,0,1,0
,Jorge Perez,Male,"ETSI de Sistemas InformÃ¡ticos, Universidad PolitÃ©cnica de Madrid, Spain",,,,
,Jessica Diaz,Female,"ETSI de Sistemas InformÃ¡ticos, Universidad PolitÃ©cnica de Madrid, Spain",,,,
,Daniel LÃ³pez-FernÃ¡ndez,Male,"ETSI de Sistemas InformÃ¡ticos, Universidad PolitÃ©cnica de Madrid, Spain",,,,
Software runtime monitoring with adaptive sampling rate to collect representative samples of execution traces,Jhonny Mertz,Male,"Universidade Federal do Rio Grande do Sul (UFRGS), Instituto de InformÃ¡tica, Brazil",TRUE,1,0,0
,Ingrid Nunes,Female,"Universidade Federal do Rio Grande do Sul (UFRGS), Instituto de InformÃ¡tica, Brazil",,,,
An empirical study of software architecture resilience evaluation methods,Jiaxin Pan,Male,"School of Computer Science and Engineering, Southeast University, Nanjing, China",TRUE,0,1,0
,Zixuan Liu,Male,"The College of Software Engineering, Southeast University, Nanjing, China",,,,
,Donglin Li,Male,"The College of Software Engineering, Southeast University, Nanjing, China",,,,
,Lulu Wang,Female,"The College of Software Engineering, Southeast University, Nanjing, China",,,,
,Bixin Li,Male,"The College of Software Engineering, Southeast University, Nanjing, China",,,,
A systematic literature review on the impact of formatting elements on code legibility,Delano Oliveira,Male,"Federal University of Pernambuco, Recife, Brazil, Federal Institute of Pernambuco, Recife, Brazil",FALSE,0,0,1
,Reydne Santos,Male,"Federal Institute of Pernambuco, Recife, Brazil",,,,
,Fernanda Madeiral,Female,"Vrije Universiteit Amsterdam, Amsterdam, Netherlands",,,,
,Hidehiko Masuhara,Male,"Tokyo Institute of Technology, Tokyo, Japan",,,,
,Fernando Castor,Male,"Utrecht University, Utrecht, Netherlands, Federal University of Pernambuco, Recife, Brazil",,,,
ProCon: An automated process-centric quality constraints checking framework,Christoph Mayr-Dorn,Male,"Johannes Kepler University, Linz, Austria",FALSE,0,0,1
,Michael Vierhauser,Male,"Johannes Kepler University, Linz, Austria",,,,
,Stefan Bichler,Male,"Johannes Kepler University, Linz, Austria",,,,
,Felix Keplinger,Male,"Johannes Kepler University, Linz, Austria",,,,
,Jane Cleland-Huang,Female,"University of Notre Dame, Notre Dame, USA",,,,
,Alexander Egyed,Male,"Johannes Kepler University, Linz, Austria",,,,
,Thomas Mehofer,Male,"Frequentis AG, Vienna, Austria",,,,
A taxonomy of assets for the development of software-intensive products and services,Ehsan Zabardast,Male,"Software Engineering Research Lab SERL, Blekinge Institute of Technology, Karlskrona, Sweden",TRUE,0,0,1
,Javier Gonzalez-Huerta,Male,"Software Engineering Research Lab SERL, Blekinge Institute of Technology, Karlskrona, Sweden",,,,
,Tony Gorschek,Male,"Software Engineering Research Lab SERL, Blekinge Institute of Technology, Karlskrona, Sweden, fortiss GmbH, GuerickestraÃŸe 25, 80805 Munich, Germany",,,,
,Darja Å mite,Female,"Software Engineering Research Lab SERL, Blekinge Institute of Technology, Karlskrona, Sweden",,,,
,Emil AlÃ©groth,Male,"Software Engineering Research Lab SERL, Blekinge Institute of Technology, Karlskrona, Sweden",,,,
,Fabian Fagerholm,Male,"Software Engineering Research Lab SERL, Blekinge Institute of Technology, Karlskrona, Sweden, Department of Computer Science, Aalto University, Espoo, Finland",,,,
Simple stupid insecure practices and GitHubâ€™s code search: A looming threat?,Ken Russel Go,Male,"RMIT University, School of Computing Technologies, Australia",TRUE,0,0,1
,Sruthi Soundarapandian,Female,"RMIT University, School of Computing Technologies, Australia",,,,
,Aparupa Mitra,Female,"RMIT University, School of Computing Technologies, Australia",,,,
,Melina Vidoni,Female,"Australian National University, CECS School of Computing, Australia",,,,
,NicolÃ¡s E. DÃ­az Ferreyra,Male,"Hamburg University of Technology, Institute of Software Security, Germany",,,,
CM-CASL: Comparison-based performance modeling of software systems via collaborative active and semisupervised learning,Rong Cao,Male,"School of Computer Science and Technology, Xidian University, China",TRUE,0,0,1
,Liang Bao,Male,"School of Computer Science and Technology, Xidian University, China",,,,
,Chase Wu,Male,"Department of Data Science, New Jersey Institute of Technology, USA",,,,
,Panpan Zhangsun,Female,"School of Computer Science and Technology, Xidian University, China",,,,
,Yufei Li,Male,"School of Computer Science and Technology, Xidian University, China",,,,
,Zhe Zhang,Male,"School of Computer Science and Technology, Xidian University, China",,,,
Graph collaborative filtering-based bug triaging,Jie Dai,Male,"Xidian University, School of Computer Science",TRUE,1,0,0
,Qingshan Li,Male,"Xidian University, School of Computer Science",,,,
,Hui Xue,Female,"Xidian University, School of Computer Science",,,,
,Zhao Luo,Male,"Xidian University, School of Computer Science",,,,
,Yinglin Wang,Male,"Xidian University, School of Computer Science",,,,
,Siyuan Zhan,Male,"Xidian University, School of Computer Science",,,,
On measuring coupling between microservices,Chenxing Zhong,Male,"Software Institute, Nanjing University, Nanjing, China",FALSE,0,0,1
,He Zhang,Male,"Software Institute, Nanjing University, Nanjing, China",,,,
,Chao Li,Male,"Software Institute, Nanjing University, Nanjing, China",,,,
,Huang Huang,Female,"State Grid Nanjing Power Supply Company, Nanjing, China",,,,
,Daniel Feitosa,Male,"Faculty of Science and Engineering, University of Groningen, Groningen, The Netherlands",,,,
Analyzing the impact of API changes on Android apps,Tarek Mahmud,Male,"Texas State University, San Marcos, TX, USA",FALSE,0,0,1
,Meiru Che,Female,"Data61, CSIRO, Brisbane, Australia",,,,
,Guowei Yang,Male,"The University of Queensland, Brisbane, Australia",,,,
Distributed state model inference for scriptless GUI testing,Fernando Pastor RicÃ³s,Male,"Universitat PolitÃ¨cnica de ValÃ¨ncia, ValÃ¨ncia, Spain",FALSE,0,0,1
,Arend Slomp,Male,"Open Universiteit, The Netherlands",,,,
,Beatriz MarÃ­n,Female,"Universitat PolitÃ¨cnica de ValÃ¨ncia, ValÃ¨ncia, Spain",,,,
,Pekka Aho,Male,"Open Universiteit, The Netherlands",,,,
,Tanja E.J. Vos,Female,"Universitat PolitÃ¨cnica de ValÃ¨ncia, ValÃ¨ncia, Spain, Open Universiteit, The Netherlands",,,,
An estimation of distribution algorithm based on interactions between requirements to solve the bi-objective Next Release Problem,JosÃ© del Sagrado,Male,"Department of Informatics, University of AlmerÃ­a, Crtra. Sacramento S/N, 04120 La CaÃ±ada (AlmerÃ­a), Spain",TRUE,1,0,0
,JosÃ© Antonio Sierra IbaÃ±ez,Male,"Department of Informatics, University of AlmerÃ­a, Crtra. Sacramento S/N, 04120 La CaÃ±ada (AlmerÃ­a), Spain",,,,
,Isabel M. del Ãguila,Female,"Department of Informatics, University of AlmerÃ­a, Crtra. Sacramento S/N, 04120 La CaÃ±ada (AlmerÃ­a), Spain",,,,
Collaborative Model-Driven Software Engineering â€” A systematic survey of practices and needs in industry,Istvan David,Male,"Department of Computer Science and Operations Research, UniversitÃ© de MontrÃ©al",FALSE,0,0,1
,Kousar Aslam,Female,"Department of Computer Science, Vrije Universiteit Amsterdam",,,,
,Ivano Malavolta,Male,"Department of Computer Science, Vrije Universiteit Amsterdam",,,,
,Patricia Lago,Female,"Department of Computer Science, Vrije Universiteit Amsterdam",,,,
Timed pattern-based analysis of collaboration failures in system-of-systems,Sangwon Hyun,Male,"School of Computing, Korea Advanced Institute of Science and Technology (KAIST)",TRUE,1,0,0
,Jiyoung Song,Female,"School of Computing, Korea Advanced Institute of Science and Technology (KAIST)",,,,
,Eunkyoung Jee,Female,"School of Computing, Korea Advanced Institute of Science and Technology (KAIST)",,,,
,Doo-Hwan Bae,Male,"School of Computing, Korea Advanced Institute of Science and Technology (KAIST)",,,,
Does Deep Learning improve the performance of duplicate bug report detection? An empirical study,Yuan Jiang,Male,"School of Computer Science and technology, Harbin Institute of Technology",TRUE,0,0,1
,Xiaohong Su,Female,"School of Computer Science and technology, Harbin Institute of Technology",,,,
,Christoph Treude,Male,"School of Computing and Information Systems, University of Melbourne",,,,
,Chao Shang,Male,"School of Computer Science and technology, Harbin Institute of Technology",,,,
,Tiantian Wang,Male,"School of Computer Science and technology, Harbin Institute of Technology",,,,
A modular metamodel and refactoring rules to achieve software product line interoperability,Jose-Miguel Horcas,Male,"AndalucÃ­a Tech, ITIS Software, Universidad de MÃ¡laga",TRUE,1,0,0
,MÃ³nica Pinto,Female,"AndalucÃ­a Tech, ITIS Software, Universidad de MÃ¡laga",,,,
,Lidia Fuentes,Female,"AndalucÃ­a Tech, ITIS Software, Universidad de MÃ¡laga",,,,
Configuring mission-specific behavior in a product line of collaborating Small Unmanned Aerial Systems,Md Nafee Al Islam,Male,"Department of Computer Science and Engineering, University of Notre Dame",TRUE,0,0,1
,Muhammed Tawfiq Chowdhury,Male,"Department of Computer Science and Engineering, University of Notre Dame",,,,
,Ankit Agrawal,Male,"Department of Computer Science and Engineering, University of Notre Dame",,,,
,Michael Murphy,Male,"Department of Computer Science and Engineering, University of Notre Dame",,,,
,Raj Mehta,Male,"Department of Computer Science and Engineering, University of Notre Dame",,,,
,Daria Kudriavtseva,Female,"Department of Computer Science and Engineering, University of Notre Dame",,,,
,Jane Cleland-Huang,Female,"Department of Computer Science and Engineering, University of Notre Dame",,,,
,Michael Vierhauser,Male,"LIT Secure and Correct Systems Lab, Johannes Kepler University Linz",,,,
,Marsha Chechik,Female,"Department of Computer Science, University of Toronto",,,,
Automated data validation: An industrial experience report,Lei Zhang,Male,"Department of Computer Science, Ryerson University, Toronto, Canada",FALSE,0,1,0
,Sean Howard,Male,"Environics Analytics, Toronto, Canada",,,,
,Tom Montpool,Male,"Environics Analytics, Toronto, Canada",,,,
,Jessica Moore,Female,"Environics Analytics, Toronto, Canada",,,,
,Krittika Mahajan,Female,"Environics Analytics, Toronto, Canada",,,,
,Andriy Miranskyy,Male,"Department of Computer Science, Ryerson University, Toronto, Canada",,,,
An empirical study of security practices for microservices systems,Ali Rezaei Nasab,Male,"School of Computer Science, Wuhan University, Wuhan, China",TRUE,0,0,1
,Mojtaba Shahin,Male,"School of Computing Technologies, RMIT University, Melbourne, Australia",,,,
,Seyed Ali Hoseyni Raviz,Male,"School of Computer Science, Wuhan University, Wuhan, China",,,,
,Peng Liang,Male,"Department of Computer Science, Bioengineering, Robotics and System Engineering, University of Genoa, Italy",,,,
,Amir Mashmool,Male,"Department of Computer Science, Bioengineering, Robotics and System Engineering, University of Genoa, Italy",,,,
,Valentina Lenarduzzi,Female,"Faculty of Information Technology and Electrical Engineering, University of Oulu, Finland",,,,
Software practitionersâ€™ point of view on technical debt payment,SÃ¡vio Freire,Male,"Federal University of Bahia, Salvador, Brazil, Federal Institute of CearÃ¡, Morada Nova, Brazil",TRUE,0,0,1
,Nicolli Rios,Female,"Federal University of Rio de Janeiro, Rio de Janeiro, Brazil",,,,
,Boris PÃ©rez,Male,"University of Los Andes, BogotÃ¡, Colombia, Francisco de Paula Santander University, CÃºcuta, Colombia",,,,
,Camilo Castellanos,Male,"University of Los Andes, BogotÃ¡, Colombia",,,,
,DarÃ­o Correal,Male,"Francisco de Paula Santander University, CÃºcuta, Colombia",,,,
,Robert RamaÄ,Male,"University of Novi Sad, Novi Sad, Serbia",,,,
,Vladimir MandiÄ‡,Male,"University of Novi Sad, Novi Sad, Serbia",,,,
,NebojÅ¡a TauÅ¡an,Male,"University of Novi Sad, Novi Sad, Serbia",,,,
,Gustavo LÃ³pez,Male,"University of Costa Rica, San JosÃ©, Costa Rica",,,,
,Alexia Pacheco,Female,"University of Costa Rica, San JosÃ©, Costa Rica",,,,
,Manoel MendonÃ§a,Male,"Federal University of Bahia, Salvador, Brazil",,,,
,Davide Falessi,Male,"University of Rome Tor Vergata, Rome, Italy",,,,
,Clemente Izurieta,Male,"Montana State University, Bozeman, MT, United States",,,,
,Carolyn Seaman,Female,"University of Maryland Baltimore County, Baltimore, MD, United States",,,,
,Rodrigo SpÃ­nola,Male,"Salvador University, Salvador, Brazil",,,,
End-usersâ€™ knowledge and perception about security of clinical mobile health apps: A case study with two Saudi Arabian mHealth providers,Bakheet Aljedaani,Male,"Computer Science Department, Aljumum University College, Umm Alqura University, Makkah, Saudi Arabia",TRUE,0,0,1
,Aakash Ahmad,Male,"School of Computing and Communications, Lancaster University Leipzig, Germany",,,,
,Mansooreh Zahedi,Female,"School of Computing and Information Systems, University of Melbourne, Australia",,,,
,M. Ali Babar,Male,"CREST â€“ the Centre for Research on Engineering Software Technologies, University of Adelaide, Australia, Cyber Security Cooperative Research Centre (CSCRC), Australia",,,,
Privacy explanations â€“ A means to end-user trust,Wasja Brunotte,Male,"Leibniz University Hannover, Software Engineering Group, Hannover, Germany",TRUE,0,1,0
,Alexander Specht,Male,"Leibniz University Hannover, Software Engineering Group, Hannover, Germany",,,,
,Larissa Chazette,Female,"Leibniz University Hannover, Software Engineering Group, Hannover, Germany",,,,
,Kurt Schneider,Male,"Leibniz University Hannover, Cluster of Excellence PhoenixD, Hannover, Germany",,,,
Automatic creation of acceptance tests by extracting conditionals from requirements: NLP approach and case study,Jannik Fischbach,Male,"Netlight Consulting GmbH, Munich, Germany, fortiss GmbH, GuerickestraÃŸe 25, Munich, 80805, Germany",FALSE,0,0,1
,Julian Frattini,Male,"Blekinge Institute of Technology, Karlskrona, Sweden",,,,
,Andreas Vogelsang,Male,"University of Cologne, Cologne, Germany",,,,
,Daniel Mendez,Male,"fortiss GmbH, Munich, Germany, Blekinge Institute of Technology, ValhallavÃ¤gen 1, 371 41, Karlskrona, Sweden",,,,
,Michael Unterkalmsteiner,Male,"Blekinge Institute of Technology, Karlskrona, Sweden",,,,
,Andreas Wehrle,Male,"Allianz Deutschland AG, UnterfÃ¶hring, Germany",,,,
,Pablo Restrepo Henao,Male,"Netlight Consulting GmbH, Munich, Germany",,,,
,Parisa Yousefi,Female,"Ericsson, Karlskrona, Sweden",,,,
,Tedi Juricic,Male,"Ericsson, Karlskrona, Sweden",,,,
,Jeannette Radduenz,Female,"Allianz Deutschland AG, UnterfÃ¶hring, Germany",,,,
,Carsten Wiecher,Male,"Leopold Kostal GmbH & Co. KG, LÃ¼denscheid, Germany",,,,
Revisiting the practices and pains of microservice architecture in reality: An industrial inquiry,Xin Zhou,Male,"State Key Laboratory of Novel Software Technology, Software Institute, Nanjing University, Jiangsu, China",FALSE,0,0,1
,Shanshan Li,Female,"State Key Laboratory of Novel Software Technology, Software Institute, Nanjing University, Jiangsu, China",,,,
,Lingli Cao,Female,"State Key Laboratory of Novel Software Technology, Software Institute, Nanjing University, Jiangsu, China",,,,
,He Zhang,Male,"State Key Laboratory of Novel Software Technology, Software Institute, Nanjing University, Jiangsu, China",,,,
,Zijia Jia,Male,"ByteDance, Inc., Hangzhou, China",,,,
,Chenxing Zhong,Male,"ByteDance, Inc., Hangzhou, China",,,,
,Zhihao Shan,Male,"Tencent Technology Co. Ltd, Shenzhen, China",,,,
,Muhammad Ali Babar,Male,"School of Computer Science, University of Adelaide, Australia",,,,
,Arianna Blasi,Female,"UniversitÃ della Svizzera italiana, Lugano, Switzerland",,,,
,Nataliia Stulova,Female,"Software Composition Group, University of Bern, Bern, Switzerland",,,,
,Sebastiano Panichella,Male,"Zurich University of Applied Science, Zurich, Switzerland",,,,
,Alessandra Gorla,Female,"IMDEA Software Institute, Madrid, Spain",,,,
,Oscar Nierstrasz,Male,"Software Composition Group, University of Bern, Bern, Switzerland",,,,
AMon: A domain-specific language and framework for adaptive monitoring of Cyberâ€“Physical Systems,Michael Vierhauser,Male,"Johannes Kepler University Linz, LIT Secure and Correct Systems Lab, Linz, Austria",FALSE,0,0,1
,Rebekka Wohlrab,Female,Chalmers,,,,
,Marco Stadler,Male,"Johannes Kepler University Linz, LIT Secure and Correct Systems Lab, Linz, Austria",,,,
,Jane Cleland-Huang,Female,"University of Notre Dame, Department of Computer Science and Eng., Notre Dame, IN, United States",,,,
How are websites used during development and what are the implications for the coding process?,Omar Alghamdi,Male,"Department of Computer Science, University of Manchester, College of Computing and Informatics, Saudi Electronic University",TRUE,0,0,1
,Sarah Clinch,Female,"Department of Computer Science, University of Manchester",,,,
,Rigina Skeva,Female,"Department of Computer Science, University of Manchester",,,,
,Caroline Jay,Female,"Department of Computer Science, University of Manchester",,,,
Explaining software fault predictions to spreadsheet users,Adil Mukhtar,Male,Graz University of Technology,TRUE,0,1,0
,Birgit Hofer,Female,Graz University of Technology,,,,
,Dietmar Jannach,Male,University of Klagenfurt,,,,
,Franz Wotawa,Male,Graz University of Technology,,,,
A systematic review on security and safety of self-adaptive systems,Irdin Pekaric,Male,"University of Innsbruck, University of Liechtenstein",TRUE,0,0,1
,Raffaela Groner,Female,Ulm University,,,,
,Thomas Witte,Male,Ulm University,,,,
,Jubril Gbolahan Adigun,Male,University of Innsbruck,,,,
,Alexander Raschke,Male,Ulm University,,,,
,Michael Felderer,Male,"University of Innsbruck, German Aerospace Center, University of Cologne",,,,
,Matthias Tichy,Male,Ulm University,,,,
A-B Testing: A Systematic Literature Review,Federico Quin,Male,KU Leuven,FALSE,0,0,1
,Danny Weyns,Male,Linnaeus University,,,,
